vendor,model,iOS_version,region3,ruleid,inc_num,call_num,inc_ratio
Apple,A1778,12.1.4,SEATTLE,ACCESS_FAILURE_CC_OTHER_VOLTE_IMS,26,37660,0.0006903877
Apple,A1778,12.1.4,SEATTLE,SOFT_DROP_DUE_TO_MEDIA_STOP_VOLTE_IMS,69,37660,0.0018321827
Apple,A1778,12.1.4,SEATTLE,CALL_SETUP_DELAY_VOLTE_IMS,265,37660,0.0070366437
Apple,A1778,12.1.4,SEATTLE,MUTING_VOLTE_VOICE,388,37660,0.0103027084
Apple,A1778,12.1.4,SEATTLE,GARBLING_VOLTE_VOICE,3042,37660,0.0807753585
Apple,A1778,12.1.4,SEATTLE,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,33,37660,0.0008762613
Apple,A1897,12.1.4,SEATTLE,DROP_CC_408_VOLTE_IMS,12,36678,0.0003271716
Apple,A1897,12.1.4,SEATTLE,IMMEDIATE_VOLUNTARY_DROP_DUE_TO_MEDIA_STOP_VOLTE,2,36678,0.0000545286
Apple,A1897,12.1.4,SEATTLE,DROP_CC_OTHER_VOLTE_IMS,3,36678,0.0000817929
Apple,A1897,12.1.4,SEATTLE,GARBLING_VOLTE_VOICE,2567,36678,0.0699874584
Apple,A1897,12.1.4,SEATTLE,MUTING_VOLTE_VOICE,336,36678,0.0091608048
Apple,A1897,12.1.4,SEATTLE,DROP_CC_503_VOLTE_IMS,31,36678,0.0008451933
Apple,A1897,12.1.4,SEATTLE,CALL_SETUP_DELAY_VOLTE_IMS,234,36678,0.0063798462
Apple,A1897,12.1.4,SEATTLE,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,26,36678,0.0007088718
Apple,A1897,12.1.4,SEATTLE,DROP_CC_481_VOLTE_IMS,30,36678,0.0008179290
Apple,A1897,12.1.4,SEATTLE,ACCESS_FAILURE_CC_OTHER_VOLTE_IMS,19,36678,0.0005180217
Apple,A1897,12.1.4,SEATTLE,SOFT_DROP_DUE_TO_MEDIA_STOP_VOLTE_IMS,68,36678,0.0018539724
Apple,A1687,12.2,HAWAII,SOFT_DROP_DUE_TO_MEDIA_STOP_VOLTE_IMS,95,36548,0.0025993214
Apple,A1687,12.2,HAWAII,MUTING_VOLTE_VOICE,643,36548,0.0175933020
Apple,A1687,12.2,HAWAII,DROP_CC_503_VOLTE_IMS,7,36548,0.0001915289
Apple,A1687,12.2,HAWAII,CALL_SETUP_DELAY_VOLTE_IMS,240,36548,0.0065667068
Apple,A1687,12.2,HAWAII,IMMEDIATE_VOLUNTARY_DROP_DUE_TO_MEDIA_STOP_VOLTE,4,36548,0.0001094451
Apple,A1687,12.2,HAWAII,DROP_CC_408_VOLTE_IMS,4,36548,0.0001094451
Apple,A1687,12.2,HAWAII,GARBLING_VOLTE_VOICE,2755,36548,0.0753803218
Apple,A1687,12.2,HAWAII,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,48,36548,0.0013133414
Apple,A1687,12.2,HAWAII,ACCESS_FAILURE_CC_OTHER_VOLTE_IMS,24,36548,0.0006566707
Apple,A1687,12.2,HAWAII,DROP_CC_481_VOLTE_IMS,75,36548,0.0020520959
Apple,A1984,12.1.4,SEATTLE,ACCESS_FAILURE_SRVCC_SETUP_VOLTE_IMS,1,35884,0.0000278676
Apple,A1984,12.1.4,SEATTLE,DROP_CC_OTHER_VOLTE_IMS,2,35884,0.0000557351
Apple,A1984,12.1.4,SEATTLE,SOFT_DROP_DUE_TO_MEDIA_STOP_VOLTE_IMS,76,35884,0.0021179356
Apple,A1984,12.1.4,SEATTLE,DROP_CC_481_VOLTE_IMS,35,35884,0.0009753651
Apple,A1984,12.1.4,SEATTLE,ACCESS_FAILURE_CC_OTHER_VOLTE_IMS,14,35884,0.0003901460
Apple,A1984,12.1.4,SEATTLE,IMMEDIATE_VOLUNTARY_DROP_DUE_TO_MEDIA_STOP_VOLTE,3,35884,0.0000836027
Apple,A1984,12.1.4,SEATTLE,DROP_CC_503_VOLTE_IMS,14,35884,0.0003901460
Apple,A1984,12.1.4,SEATTLE,GARBLING_VOLTE_VOICE,4789,35884,0.1334578085
Apple,A1984,12.1.4,SEATTLE,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,25,35884,0.0006966893
Apple,A1984,12.1.4,SEATTLE,CALL_SETUP_DELAY_VOLTE_IMS,224,35884,0.0062423364
